steering,speed,basereward,reward
27,4.0,1,1.0
28,0.8,1,1.0
28,1.0,1,1.0
28,1.2,1,1.0
28,1.4,1,1.0
28,1.6,1,1.0
28,1.8,1,1.0
28,2.0,1,1.0
28,2.2,1,1.0
28,2.4,1,1.0
28,2.6,1,1.0
28,2.8,1,1.0
28,3.0,1,1.0
28,3.2,1,1.0
28,3.4,1,1.0
28,3.6,1,1.0
28,3.8,1,1.0
28,4.0,1,1.0
29,0.8,1,1.0
29,1.0,1,1.0
29,1.2,1,1.0
29,1.4,1,1.0
29,1.6,1,1.0
29,1.8,1,1.0
29,2.0,1,1.0
29,2.2,1,1.0
29,2.4,1,1.0
29,2.6,1,1.0
29,2.8,1,1.0
29,3.0,1,1.0
29,3.2,1,1.0
29,3.4,1,1.0
29,3.6,1,1.0
29,3.8,1,1.0
29,4.0,1,1.0
30,0.8,1,1.0
30,1.0,1,1.0
30,1.2,1,1.0
30,1.4,1,1.0
30,1.6,1,1.0
30,1.8,1,1.0
30,2.0,1,1.0
30,2.2,1,1.0
30,2.4,1,1.0
30,2.6,1,1.0
30,2.8,1,1.0
30,3.0,1,1.0
30,3.2,1,1.0
30,3.4,1,1.0
30,3.6,1,1.0
30,3.8,1,1.0
30,4.0,1,1.0
